"Code","Title","Platform","Is Low Cost","Is Missed Opportunity","Judgement","Impact","Impact Score","Notes","Topic","Review Tool Link","Selected scenarios"
"#495D","Always Provide Comparison Features for Spec-Driven Product Types","Desktop","No","No","Violated High","Harmful",-2.8,"","Desktop Web > Product Lists & Filtering > List Item Features","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/7f36e7e2/assessments/cIbq_PVQap","One or more spec-driven product categories warrant a comparison feature · No comparison feature is provided in the category product list and/or the search results"
"#1167D","Always Allow Filtering By Price, User Ratings, Color, Size, and Brand","Desktop","No","No","Violated High","Harmful",-2.8,"","Desktop Web > Product Lists & Filtering > Filtering: Available Filters, Scope & Logic","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/7cbc22d0/assessments/u93N0JZkp4","Single brand is being sold · Some relevant filter types are missing · Price · User Ratings"
"#510D","Always Implement a Diversity-Based Default Sort Method ","Desktop","No","Yes","Violated High","Harmful",-2.8,"","Desktop Web > Product Lists & Filtering > Sorting","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/f22416b8/assessments/ZnF77CPvg","Only one brand is sold · No true diversity of products is shown under the default sort type · No sort type is selected by default"
"#843D","Use Both “Bullet Lists” and “Blocks of Text” for Product Descriptions","Desktop","No","Yes","Violated High","Harmful",-2.8,"","Desktop Web > Product Page > Product Descriptions, Specs & Variations","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/5dcd245b/assessments/Tk__6gmS","Product descriptions consist of over 90% text blocks"
"#719D","Always Autoscroll Users to the Field with Errors or an ""Error Summary""","Desktop","No","Yes","Violated High","Harmful",-2.8,"","Desktop Web > Cart & Checkout > General Form Design & Checkout Layout","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/51452fb8/assessments/QSqOkqKDmj","Validation error is returned when the form is submitted with at least one field error · User is autoscrolled to the erroneous field or an erroneous message when the form is submitted with one field error · No autoscrolling to the summary of errors occurs when the form is submitted with at least two field errors · One of the erroneous fields falls out of the viewport when autoscrolled to one of them"
"#722D","Use ‘Adaptive Error Messages’ that Match the User’s Specific Subissue","Desktop","No","Yes","Violated High","Harmful",-2.8,"","Desktop Web > Cart & Checkout > General Form Design & Checkout Layout","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/51452fb8/assessments/VzGDFx08mZ","No error message is returned when incomplete information is entered in the phone number field · No credit card field is available · Generic error message reads ""Invalid Email"" or similar"
"#358M","Always Provide Highly Relevant Alternative Queries on the Results Page","Mobile Web","No","No","Violated High","Harmful",-2.8,"","Mobile Web > Mobile On-Site Search > Mobile Search Results Layout & Filtering","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/475882d5/assessments/e7NQmkky","None of the three searches return alternate query suggestions on the search results page"
"#1167M","Always Allow Filtering By Price, User Ratings, Color, Size, and Brand","Mobile Web","No","No","Violated High","Harmful",-2.8,"","Mobile Web > Mobile Product Lists & Filtering > Mobile Available Filters & Sorting","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/bd9ee16c/assessments/LO7PBVluZ3","Single brand is being sold · Some relevant filter types are missing · Price"
"#510M","Always Implement a Diversity-Based Default Sort Method ","Mobile Web","No","No","Violated High","Harmful",-2.8,"","Mobile Web > Mobile Product Lists & Filtering > Mobile Available Filters & Sorting","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/bd9ee16c/assessments/1rxb5AYHX","Only one brand is sold · No true diversity of products is shown under the default sort type · No sort type is selected by default"
"#779M","Ensure All Product Images Have Sufficient Resolution and Level of Zoom","Mobile Web","No","Yes","Violated High","Harmful",-2.8,"","Mobile Web > Mobile Product Page > Mobile Product Images: Gallery UI, Videos & 360-Views","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/540032a2/assessments/CsvwFFizo","No zoom functionality is present"
"#843M","Use Both “Bullet Lists” and “Blocks of Text” for Product Descriptions","Mobile Web","No","No","Violated High","Harmful",-2.8,"","Mobile Web > Mobile Product Page > Mobile Product Descriptions, Specs & Variations","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/a7e03826/assessments/gDPuqr2Tr","Product descriptions consist of over 90% a bullet list"
"#237D","Feature a Broad Range of Product Types on the Homepage","Desktop","No","No","Violated High","Harmful",-2.6,"","Desktop Web > Homepage & Category Navigation > Homepage","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/2823dfaf/assessments/m5VGWFUQ","0–10% of categories are visually represented"
"#333D","Return Relevant Results for ""Exact"" Product Title Queries","Desktop","No","No","Violated High","Harmful",-2.6,"The model numbers do not match exactly between the search result and the name on the product detail page.
Example: Pirnar model Classico 3200CC
Instead of ‘3200CC’, ‘3200’ is displayed in the search. This could cause confusion for the user as to whether it is the same model.","Desktop Web > On-Site Search > Search Query Types","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/11fdb079/assessments/WsxGANFJY","Search results list is shown consistently for all search queries · Some search queries do not show the searched product in the first three results · Relevant search results are displayed when searching by product SKU or model number"
"#757D","'One Long Page' Can Work as a PDP Layout for ‘Simple Visual-Only’ Products","Desktop","No","No","Violated High","Harmful",-2.6,"","Desktop Web > Product Page > Product Page Layout","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/e7014c51/assessments/gER9z1-B7","""One Long Page"" layout is used for visually-driven products · Insufficient information about the product is provided"
"#741D","Always Show Products ‘In Scale’","Desktop","No","No","Violated High","Harmful",-2.6,"","Desktop Web > Product Page > Product Images: Gallery UI, Videos & 360-Views","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/eed1a4c0/assessments/vcuTs31N","No ""In Scale"" images are typically available"
"#747D","Always Provide ""Feature Callout"" Images","Desktop","No","No","Violated High","Harmful",-2.6,"","Desktop Web > Product Page > Product Images: Gallery UI, Videos & 360-Views","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/eed1a4c0/assessments/Bz0uAQc1","0 ""Feature Callout"" images are typically available on the product details page"
"#779D","Ensure All Product Images Have Sufficient Resolution and Level of Zoom","Desktop","No","Yes","Violated High","Harmful",-2.6,"","Desktop Web > Product Page > Product Images: Gallery UI, Videos & 360-Views","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/eed1a4c0/assessments/nYUp0DL4","No zoom functionality is present"
"#807D","Provide Supplementary Product Information Like Manuals and Production Ethics","Desktop","No","Yes","Violated High","Harmful",-2.6,"","Desktop Web > Product Page > Cross-Sells & Auxiliary Content","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/2d6f2402/assessments/cCEI8hZZV","No supplementary product information is present"
"#2585D","Always Allow Users to Order Material Samples for Some Expensive Furniture Products","Desktop","No","No","Violated High","Harmful",-2.6,"","Desktop Web > Product Page > Cross-Sells & Auxiliary Content","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/2d6f2402/assessments/dvtnqwgx","Not possible to order material samples or swatches for expensive furniture products"
"#555D","Avoid Deleting Users' Typed Inputs","Desktop","No","Yes","Violated High","Harmful",-2.6,"","Desktop Web > Cart & Checkout > Form Field Usability & Design","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/e12b1453/assessments/Jplok0NlwK","Entered data is lost and/or user selections are forgotten or reverted · Updating the page removes or forgets data / user selections"
"#333M","Return Relevant Results for ""Exact"" Product Title Queries","Mobile Web","No","No","Violated High","Harmful",-2.6,"","Mobile Web > Mobile On-Site Search > Mobile Search Query Types","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/28038e11/assessments/5zOTRCefpG","Search results list is shown consistently for all search queries · Some search queries do not show the searched product in the first three results · Relevant search results are displayed when searching by product SKU or model number"
"#362M","Always Provide Alternate Paths and Content on ""No Results"" Pages","Mobile Web","No","No","Violated High","Harmful",-2.6,"","Mobile Web > Mobile On-Site Search > Mobile Search Results Layout & Filtering","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/475882d5/assessments/IOyooTeH","""No Results"" page can be triggered by certain search queries  · Popular products or featured categories are offered"
"#2539M","Order Long Lists of Filter Options Alphabetically","Mobile Web","No","No","Violated High","Harmful",-2.6,"","Mobile Web > Mobile Product Lists & Filtering > Mobile Filtering Interface, Scope & Logic","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/6c5e724b/assessments/zf9zv1t4","At least one filter type with long list of filter options is present · Filter values are ordered by number of matches or any other method"
"#2572M","Display Applied Filters on Mobile in an Overview","Mobile Web","No","No","Violated High","Harmful",-2.6,"","Mobile Web > Mobile Product Lists & Filtering > Mobile Filtering Interface, Scope & Logic","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/6c5e724b/assessments/rw7cf5tz","Only some applied filters are available in an overview or there is no overview at all"
"#741M","Always Show Products ‘In Scale’","Mobile Web","No","No","Violated High","Harmful",-2.6,"","Mobile Web > Mobile Product Page > Mobile Product Images: Gallery UI, Videos & 360-Views","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/540032a2/assessments/lPbImoHUSh","No ""In Scale"" images are typically available"
"#747M","Always Provide ""Feature Callout"" Images","Mobile Web","No","No","Violated High","Harmful",-2.6,"","Mobile Web > Mobile Product Page > Mobile Product Images: Gallery UI, Videos & 360-Views","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/540032a2/assessments/Qp9aRF-GxR","0 ""Feature Callout"" images are typically available on the product details page"
"#807M","Provide Supplementary Product Information Like Manuals and Production Ethics","Mobile Web","No","No","Violated High","Harmful",-2.6,"","Mobile Web > Mobile Product Page > Mobile Cross-Sells & Auxiliary Content","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/0c031079/assessments/tQW-GaeSW","No supplementary product information is present"
"#2585M","Always Allow Users to Order Material Samples for Some Expensive Furniture Products","Mobile Web","No","No","Violated High","Harmful",-2.6,"","Mobile Web > Mobile Product Page > Mobile Cross-Sells & Auxiliary Content","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/0c031079/assessments/p95jnsxk","Not possible to order material samples or swatches for expensive furniture products"
"#1142M","Support Pinch-to-Zoom on Mobile","Mobile Web","No","No","Violated High","Harmful",-2.6,"","Mobile Web > Mobile Site-Wide Features","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/e07ea3e4/assessments/EorS30j7Z","No image gallery overlay is offered · No zoom functionality is available at all"
"#1707D"," Always Highlight Core Product and Brand Features on the Homepage","Desktop","No","No","Violated High","Disruptive",-2,"Brand values and USPs are presented and communicated. However, the brand values could be presented even more specifically so that the uniqueness/specialness of Pirnar becomes clearer.","Desktop Web > Homepage & Category Navigation > Homepage","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/2823dfaf/assessments/JV1uqd1Tv","Some key product or brand details details are missing from the homepage · Key product details"
"#2281D","Always Include Category-Specific Product Attributes in Spec-Driven List Items","Desktop","No","No","Violated High","Disruptive",-2,"","Desktop Web > Product Lists & Filtering > List Item Info & Thumbnails","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/bd16800a/assessments/1a7hcm2e","No category-specific product attributes are typically present in product list items"
"#488D","Display Applied Filters on Desktop in an Overview","Desktop","No","Yes","Violated High","Disruptive",-2,"","Desktop Web > Product Lists & Filtering > Filtering: Available Filters, Scope & Logic","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/7cbc22d0/assessments/Fap5D6gvu","Filters are only shown in the original position"
"#798D","How to Implement 'Save' Features","Desktop","No","Yes","Violated High","Disruptive",-2,"","Desktop Web > Product Page > The ""Buy"" Section, Shipping & Returns","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/512a3f5e/assessments/WcGAxVYl",""
"#787D","Have Both Site-Provided and User-Provided Q&A Content","Desktop","No","Yes","Violated High","Disruptive",-2,"","Desktop Web > Product Page > Cross-Sells & Auxiliary Content","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/2d6f2402/assessments/LJnZjztz","No Q&A and/or FAQs content is available on the product details page"
"#566D","Use ""Shipping Address"" as ""Billing Address"" by Default","Desktop","No","No","Violated High","Disruptive",-2,"","Desktop Web > Cart & Checkout > User Information & Address","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/62560cfd/assessments/-Zq8XS_9","""Billing address"" form appears first · ""Shipping address"" and ""Billing address"" are not set to be the same by default"
"#2266D","Provide a ""Fully Automatic Address Lookup"" Feature","Desktop","No","No","Violated High","Disruptive",-2,"","Desktop Web > Cart & Checkout > User Information & Address","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/62560cfd/assessments/w25o4til","No ""Fully Automatic Address Lookup"" or ""Semiautomatic Address Lookup"" features are available "
"#561D","Autodetect City and State Immediately After Zip Code is Provided","Desktop","No","No","Violated High","Disruptive",-2,"","Desktop Web > Cart & Checkout > User Information & Address","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/62560cfd/assessments/EtXWS8CW","Neither ""Fully Automatic Address Lookup"" feature nor zip code autodetection is available"
"#625D","Have an Address Validator","Desktop","No","No","Violated High","Disruptive",-2,"","Desktop Web > Cart & Checkout > User Information & Address","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/62560cfd/assessments/l3ZsgcdCxU","No address validation error is returned after entering an incorrect address"
"#1206D","Cumulative Layout Shift Score","Desktop","No","No","Violated High","Disruptive",-2,"","Desktop Web > Site-Wide Features","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/e908fb90/assessments/tpD7Yf7Fq","0.251 or greater CLS was calculated"
"#308M","Present Subcategories as the Primary Content on Intermediary Category Pages","Mobile Web","No","No","Violated High","Disruptive",-2,"","Mobile Web > Mobile Homepage & Category Navigation > Mobile Category Taxonomy & Intermediary Category Pages","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/31db2a2e/assessments/5CZSO7cBk","No subcategories are featured as the primary content at the top of the category page "
"#2281M","Always Include Category-Specific Product Attributes in Spec-Driven List Items","Mobile Web","No","No","Violated High","Disruptive",-2,"","Mobile Web > Mobile Product Lists & Filtering > Mobile List Item Info & Thumbnails","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/3f36941b/assessments/5l9s3b5k","No category-specific product attributes are typically present in product list items"
"#2375M","Always Allow Guest Users in Product Lists to Save Items to Wishlists","Mobile Web","No","No","Violated High","Disruptive",-2,"","Mobile Web > Mobile Product Lists & Filtering > Mobile List Item Features","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/bcdbc307/assessments/92x7bopp","Visually-driven products are mainly being sold · No option to save product list items to the wishlist is available"
"#787M","Have Both Site-Provided and User-Provided Q&A Content","Mobile Web","No","No","Violated High","Disruptive",-2,"","Mobile Web > Mobile Product Page > Mobile Cross-Sells & Auxiliary Content","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/0c031079/assessments/iuMCSSknM","No Q&A and/or FAQs content is available on the product details page"
"#1206M","Cumulative Layout Shift Score","Mobile Web","No","No","Violated High","Disruptive",-2,"","Mobile Web > Mobile Site-Wide Features","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/e07ea3e4/assessments/1zqfqrxz","0.251 or greater CLS was calculated"
"#940M","Avoid Non-User-Initiated Live Chat Dialogs and on Mobile be Cautious with ‘Sticky’ Chat Elements","Mobile Web","Yes","No","Violated High","Disruptive",-2,"","Mobile Web > Mobile Site-Wide Features","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/e07ea3e4/assessments/TPO6AUjGZ","Live chat is available via an overlay dialog, dialog pop-up, or a ""sticky"" element · Chat request interrupts  browsing · Chat appears multiple times, even after dismissing it"
"#1083M","Ensure Hit Areas on Mobile Are at Least 7mm x 7mm","Mobile Web","No","No","Violated High","Disruptive",-2,"","Mobile Web > Mobile Site-Wide Features","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/e07ea3e4/assessments/T-VpbbHRc","Hit areas are less than 7mm x 7mm"
"#1708D","Feature a Representative Sample of Products on the Homepage","Desktop","No","No","Violated High","Disruptive",-1.8,"The home page does not yet give the user a good overview of the door portfolio. It is not clear at first glance what types of front doors Pirnar offers: Aluminum and wood. ","Desktop Web > Homepage & Category Navigation > Homepage","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/2823dfaf/assessments/QKBc069SE","Less than 25% of the product catalog is visually featured on the homepage · Some of the product types are not featured on the homepage at all "
"#355D","Autocorrect Obvious Misspellings on the Search Results Page","Desktop","No","Yes","Violated High","Disruptive",-1.8,"","Desktop Web > On-Site Search > Search Results Layout & Filtering","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/b183a8b5/assessments/h1D0FBsr","Misspelled search query is not autocorrected on the search results page"
"#766D","Use Accurate and Specific Section Titles for Product Page Content","Desktop","No","No","Violated High","Disruptive",-1.8,"","Desktop Web > Product Page > Product Page Layout","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/e7014c51/assessments/HkndQuH8","No section titles are present for the content sections"
"#759D","Use Video to Showcase Products","Desktop","No","No","Violated High","Disruptive",-1.8,"","Desktop Web > Product Page > Product Images: Gallery UI, Videos & 360-Views","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/eed1a4c0/assessments/RUCgUT6-","No product videos or animated gifs are available"
"#731D","Explain Why the “Phone Number” Field Is Required","Desktop","Yes","Yes","Violated High","Disruptive",-1.8,"","Desktop Web > Cart & Checkout > User Information & Address","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/62560cfd/assessments/VdADSmUU","“Phone Number“ is required without an explanation · There is no “Date of Birth“ field · There is no “Gender“ field"
"#1708M","Feature a Representative Sample of Products on the Homepage","Mobile Web","No","No","Violated High","Disruptive",-1.8,"","Mobile Web > Mobile Homepage & Category Navigation > Mobile Homepage","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/8d7e4818/assessments/MoV-M82Da","Less than 25% of the product catalog is visually featured on the homepage · Some of the product types are not featured on the homepage at all "
"#376M","Provide Category-Specific Filters for Initial Sitewide Search Results","Mobile Web","No","No","Violated High","Disruptive",-1.8,"","Mobile Web > Mobile On-Site Search > Mobile Search Results Layout & Filtering","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/475882d5/assessments/qX3GQD4yh","Filters are available for the sitewide search results · No category-specific filters are provided on the search results page"
"#945M","Ensure Mobile List Items Are Clearly Separated ","Mobile Web","Yes","No","Violated High","Disruptive",-1.8,"","Mobile Web > Mobile Product Lists & Filtering > Mobile List Layout","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/ade4a422/assessments/zuJZ4Gnwv","List items are not visually separated"
"#450M","Always Use Swatches to Indicate Color Variations in List Items","Mobile Web","No","No","Violated High","Disruptive",-1.8,"","Mobile Web > Mobile Product Lists & Filtering > Mobile List Item Features","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/bcdbc307/assessments/fULZHf-si","Products are available in color variations · No color variations are indicated in the product list and/or search results"
"#766M","Use Accurate and Specific Section Titles for Product Page Content","Mobile Web","No","No","Violated High","Disruptive",-1.8,"","Mobile Web > Mobile Product Page > Mobile Product Page Layout","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/232c5576/assessments/DGiub-ncI","No section titles are present for the content sections"
"#827M","Provide a List of Recently Viewed Items","Mobile Web","No","No","Violated High","Disruptive",-1.8,"","Mobile Web > Mobile Product Page > Mobile Product Page Layout","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/232c5576/assessments/YkmUQDltv","No list of ""Recently Viewed"" products is present"
"#759M","Use Video to Showcase Products","Mobile Web","No","No","Violated High","Disruptive",-1.8,"","Mobile Web > Mobile Product Page > Mobile Product Images: Gallery UI, Videos & 360-Views","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/540032a2/assessments/RI-kblNzM","No product videos or animated gifs are available"
"#792M","Style Product Price to Be Highly Visible","Mobile Web","Yes","No","Violated High","Disruptive",-1.8,"","Mobile Web > Mobile Product Page > Mobile The ""Buy"" Section, Shipping & Returns","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/002344dc/assessments/daiORVZJG","No price is available on the product details page"
"#253M","Implement Product Types with Shared Attributes as Filters Instead of Categories","Mobile Web","No","Yes","Violated Low","Disruptive",-1.7,"","Mobile Web > Mobile Homepage & Category Navigation > Mobile Category Taxonomy & Intermediary Category Pages","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/31db2a2e/assessments/UFHlbeoQq","Product sub-types are implemented as categories · Possible to see all products of a particular product type "
"#1095M","Have Only Mobile-Optimized Pages and Content on Mobile","Mobile Web","No","No","Violated Low","Disruptive",-1.5,"","Mobile Web > Mobile Site-Wide Features","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/e07ea3e4/assessments/y4MuxoYLZ","Site has a single minor issue with optimizing for mobile"
"#253D","Implement Product Types with Shared Attributes as Filters Instead of Categories","Desktop","No","Yes","Violated Low","Disruptive",-1.4,"","Desktop Web > Homepage & Category Navigation > Category Taxonomy & Intermediary Category Pages","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/c04bf751/assessments/vz5YwQQqd","Product sub-types are implemented as categories · Possible to see all products of a particular product type "
"#263D","Ensure Categories are Clearly Delineated","Desktop","No","No","Violated Low","Disruptive",-1.4,"The structure of the subcategories is very SEO-heavy.
For example, the same portfolio can be expected under “Eingangstüren” as under “Haustüren”. ","Desktop Web > Homepage & Category Navigation > Category Taxonomy & Intermediary Category Pages","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/c04bf751/assessments/Lh6cFVKj3v","There are a few cases of actual redundant or overlapping categories"
"#841D","Ensure a Consistently High Level of Detail in the Product Descriptions","Desktop","No","No","Violated Low","Disruptive",-1.4,"","Desktop Web > Product Page > Product Descriptions, Specs & Variations","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/5dcd245b/assessments/c6nSYDHj","Issues with product descriptions · Product aspects are not described"
"#263M","Ensure Categories are Clearly Delineated","Mobile Web","No","No","Violated Low","Disruptive",-1.4,"","Mobile Web > Mobile Homepage & Category Navigation > Mobile Category Taxonomy & Intermediary Category Pages","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/31db2a2e/assessments/A-cOSR_7m","There are a few cases of actual redundant or overlapping categories"
"#1001M","Offer Relevant Autocomplete Suggestions for Closely Misspelled Search Terms and Queries","Mobile Web","No","Yes","Violated Low","Disruptive",-1.4,"Wenn mann z.B. Tuer eingibt gibt es nur ein Ergebnis, im Gegensatz zu Tür","Mobile Web > Mobile On-Site Search > Mobile Search Form & Autocomplete","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/a443569c/assessments/Q9EpNOQ-","Autocomplete misspellings  have limited support "
